Year,State,Winner,Type[i],#C[ii],$Spent Actual,$Spent 2001$,CPV 2001,,,
1998,TX,R +38,IW,5,"23,402,959",25355319.00,6.78,,,
1900,UT,R +14,IW,4,"2,178,810",2223276.00,2.92,,,
1976,UT,D +  6,O,4,"408,574",1272816.00,2.41,,,
1980,UT,D +10,IW,5,"606,706",1307556.00,2.19,,,
1984,UT,R +12,O,8,"2,621,289",4480836.00,7.14,,,
1988,UT,R +  2,IW,8,"3,513,295",5275218.00,8.16,,,
1992,UT,R +  8,O,10,"3,908,307",4947224.00,6.56,,,
1996,UT,R +52,IW,10,"922,560",1062.86,1.59,,,
1973,VA,R +14,O,2,"2,301,300",9205200.00,8.89,,,
1977,VA,R +13,O,4,"4,250,600",13241745.00,10.59,,,
1981,VA,D +  8,O,  2+,"5,275,000",10302734.00,7.26,,,
1985,VA,D +10,O,4,"8,133,357",13421381.00,9.99,,,
1989,VA,D +  0.2,O,4,"21,730,000",31087268.00,17.4,,,
1993,VA,R +17,O,4,"13,507,697",16594222.00,9.31,,,
1997,VA,R +13,O,3,"17,676,573",19446175.00,11.2,,,
1900,VT,D +12,IW,10,"2,258,993",2305095.00,7.85,,,
1978,VT,R +29,IW,4,"113,624",309602.00,2.57,,,
1980,VT,R +22,IW,8,"292,380",630129.00,3.01,,,
1982,VT,R +11,IW,5,"414,073",761164.00,4.52,,,
1984,VT,D +  1,O,6,"1,609,917",2751995.00,11.82,,,
1986,VT,D +  9,IW,4,"1,015,689",1646173.00,6.13,,,
1988,VT,D +24,IW,4,"1,139,676",1711225.00,7.14,,,
1990,VT,R +  6,O,5,"737,051",1001428.00,4.91,,,
1992,VT,D +52,IW,4,"389,212",492547.00,1.55,,,
1994,VT,D +51,IW,11,"345,410",414409.00,1.95,,,
1996,VT,D +49,IW,8,"208,610",240334.00,0.95,,,
1998,VT,D +15,IW,6,"1,119,626",1213029.00,5.56,,,
1900,WA,D +19,IW,6,"6,564,423",6698391.00,2.71,,,
1976,WA,D +  9,O,12,"1,840,009",5732115.00,3.8,,,
1980,WA,R +14,IL,14,"3,398,423",7324188.00,4.23,,,
1984,WA,D +  6,IL,8,"5,388,163",9210535.00,4.88,,,
1988,WA,D +24,IW,8,"2,586,735",3883986.00,2.07,,,
1992,WA,D +  6,O,11,"6,994,269",8853505.00,3.9,,,
1996,WA,D +16,O,15,"8,883,284",10234198.00,5.81,,,
1978,WI,R +  9,IL,6,"1,415,782",3857717.00,2.59,,,
1982,WI,D +15,O,8,"1,880,919",3457572.00,2.21,,,
1986,WI,R +  7,IL,10,"2,927,305",4744417.00,3.14,,,
1990,WI,R +16,IW,4,"5,769,541",7839050.00,5.81,,,
1994,WI,R +36,IW,5,"6,055,956",7252642.00,4.64,,,
1998,WI,R +21,IW,8,"6,918,421",7495581.00,4.27,,,
1900,WV,D +  3,IL,15,"6,525,868",6659049.00,10.28,,,
1980,WV,D +  9,IW,4,"12,743,915",27465334.00,37.16,,,
1984,WV,R +  6,O,8,"3,582,150",6123333.00,8.26,,,
1988,WV,D +18,IL,9,"8,533,441",12812974.00,19.72,,,
1992,WV,D +19,IW,7,"3,941,775",4989589.00,7.59,,,
1996,WV,R +  6,O,15,"9,381,202",10807836.00,17.41,,,
1978,WY,D +  2,IW,5,"718,587",1958003.00,14.23,,,
1982,WY,D +26,IW,5,"825,770",1517960.00,9.01,,,
1986,WY,D +  8,O,11,"2,583,308",4186885.00,25.42,,,
1990,WY,D +30,IW,4,"1,026,567",1394792.00,8.71,,,
1994,WY,R +19,O,6,"1,233,453",1477189.00,7.35,,,
1998,WY,R +16,IW,5,"759,028",822349.00,4.7,,,
